iter	Passed	Remaining
220	22525	79398
221	22644	79356
222	22760	79304
223	22901	79337
224	22992	79196
225	23074	79026
226	23172	78908
227	23255	78743
228	23355	78634
229	23418	78400
230	23511	78271
231	23601	78129
232	23724	78095
233	23835	78025
234	23899	778012235	2397235	2400236	2402236	24133	77696
237	24208	77508
238	24306	77395
239	24418	77326
240	24502	77166
241	24597	77044
242	24700	76948
243	24806	76860
244	24920	76794
245	25006	76646
246	25105	76535
247	25200	76413
248	25273	76225
249	25361	76084
250	25456	75962
251	25530	75779
252	25621	75648
253	25730	75569
254	25808	75401
255	25922	75335
256	26016	75216
257	26113	75100
258	26218	75011
259	26309	74880
260	26375	74680
261	26466	74551
262	26555	74416
263	26647	74288
264	26730	74139
265	26818	74004
266	26902	73855
267	26975	73679
268	27077	73581
269	27156	73423
270	27264	73342
271	27374	73267
272	27459	73125
273	27545	72985
274	27613	72798
275	27663	72566
276	27712	72332
277	27763	72105
278	27827	71911
279	27896	71732
280	27954	71527
281	28006	71306
282	28078	71138
283	28127	70912
284	28178	70694
285	28220	70451
286	28288	70276
287	28340	70062
288	28392	69851
289	28460	69678
290	28517	69479
291	28571	69276
292	28626	69075
293	28691	68899
294	28755	68721
295	28821	68548
296	28878	68356
297	28948	68194
298	29013	68021
299	29077	67847
300	29142	67677
301	29227	67553
302	29293	67384
303	29358	67216
304	29413	67025
305	29464	66825
306	29524	66645
307	29585	66472
308	29634	66270
309	29697	66101
310	29750	65909
311	29804	65722
312	2983313	2984313	2988314	2989314	2994315	2995315	2999316	3001316	3005317	3007317	3011318	3012318	3016319	3016319	3020320	3021320	3026321	3028321	3032322	3034322	3038323	3039323	3043324	3047324	3047325	3051325	3052326	3056326	3057327	3062327	3063328	3067328	3069329	3072329	3074330	30793	62237
331	30848	62069
332	3090332	3090333	30957	61730
334	3100334	3101335	31080	61421
336	31135	61254
337	31183	61074
338	31239	60912
339	31302	60763
340	31355	60596
341	31410	60433
342	31463	60266
343	31525	60119
344	31580	59957
345	31637	59799
346	31699	59653
347	31756	59497
348	31810	59337
349	31857	59164
350	31906	58995
351	31959	58834
352	32022	58692
353	32095	58569
354	32152	58418
355	32301	58432
356	32454	58455
357	32537	58348
358	32604	58216
359	32701	58135
360	32783	58030
361	32875	57940
362	32958	57836
363	33027	57707
364	33140	57655
365	33216	57538
366	33326	57481
367	33395	57352
368	33506	57296
369	33589	57192
370	33665	57076
371	33764	57000
372	33858	56915
373	33967	56854
374	34085	56808
375	34168	56704
376	34275	56641
377	34372	56560
378	34481	56499
379	34587	56431
380	34670	56328
381	34790	56284
382	34883	56195
383	34958	56079
384	35045	55981
385	35143	55902
386	35238	55817
387	35332	55730
388	35399	55602
389	35485	55502
390	35570	55403
391	35646	55287
392	35729	55185
393	35843	55129
394	35921	55018
395	36022	54942
396	36111	54850
397	36189	54738
398	36280	54647
399	36365	54548
400	36461	54464
401	36549	54369
402	36629	54262
403	36725	54178
404	36814	54085
405	36905	53994
